Species;Relative.Adult.Mobility;Estimated.Max.Body.Size;Habitat.Complexity;Chemosynthesis.Obligate;Zonation.From.Vent;Feeding.Mode;CIR;ESR;Galapagos;GoC;JdF;Kermadec;Lau;Manus;Mariana;MohnsRidge;NEPR;N.MAR;NFiji;Okinawa;SEPR;S.MAR;SWIR
Abyssogena mariana;2;1000;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Abyssogena southwardae;2;1000;Bed forming;Other CBE;Low;Symbiotic;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Abyssorchomene abyssorum;3;10;Does not add;No;Low;Carnivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abyssorchomene distinctus;3;10;Does not add;No;Low;Carnivore;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Acharax alinae;2;1000;Burrow forming;Other CBE;Low;Symbiotic;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Acharax johnsoni;2;1000;Burrow forming;Other CBE;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Actinostolidae sp. ESR1;1;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinostolidae sp. ESR2;1;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinostolidae sp. ESR3;1;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinostolidae sp. ESR4;1;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinostolidae sp. SWIR;1;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Alaysia spiralis;1;100;Dense bush forming;Other CBE;Medium;Symbiotic;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Allograea tomentosa;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Altiverruca sp. 1 CIR;1;10;Does not add;Vent;Low;Detritivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alvinactis chessi;1;100;Does not add;No;Medium;Carnivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alvinella caudata;2;100;Burrow forming;Vent;High;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Alvinella pompejana;2;100;Burrow forming;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Alviniconcha adamantis;3;100;Bed forming;Vent;High;Symbiotic;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Alviniconcha boucheti;3;100;Mat forming;Vent;High;Symbiotic;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alviniconcha hessleri;3;100;Mat forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Alviniconcha kojimai;3;100;Mat forming;Vent;High;Symbiotic;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alviniconcha marisindica;3;100;Does not add;Vent;High;Symbiotic;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alviniconcha strummeri;3;100;Mat forming;Vent;High;Symbiotic;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alvinocaris alexander;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alvinocaris brevitelsonis;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Alvinocaris dissimilis;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
